,cldCvrAvg,cldCvrMax,cldCvrMin,country,dewPtAvg,dewPtMax,dewPtMin,feelsLikeAvg,feelsLikeMax,feelsLikeMin,postal_code,precip,relHumAvg,relHumMax,relHumMin,sfcPresAvg,sfcPresMax,sfcPresMin,snowfall,spcHumAvg,spcHumMax,spcHumMin,tempAvg,tempMax,tempMin,timestamp,wetBulbAvg,wetBulbMax,wetBulbMin,windSpdAvg,windSpdMax,windSpdMin,predicted,zips
8,89.0,100.0,63.0,us,35.3,40.1,29.1,33.7,45.8,28.7,20816,0.98,92.7,99.2,74.4,1016.1,1023.5,1012.7,0.0,4.3,5.2,3.3,37.3,46.9,31.0,2014-02-03T00:00:00-05:00,36.4,43.4,30.3,4.6,6.9,2.4,0,71107
9,58.0,89.0,29.0,us,24.5,28.5,22.5,30.3,36.0,25.4,20816,0.0,75.7,93.7,61.1,1024.5,1028.3,1018.8,0.0,2.7,3.2,2.5,31.6,36.6,27.1,2014-02-04T00:00:00-05:00,29.2,32.6,25.7,2.0,3.6,0.5,0,71107
10,74.0,100.0,29.0,us,31.3,36.6,21.7,31.8,37.2,24.1,20816,0.29,91.0,99.1,63.6,1008.6,1016.7,1002.1,2.2,3.7,4.6,2.5,33.9,39.8,29.6,2014-02-05T00:00:00-05:00,32.9,36.9,28.9,3.4,11.3,0.2,0,71107
11,73.0,98.0,34.0,us,18.3,21.4,16.1,26.2,32.4,19.7,20816,0.0,60.4,69.8,46.2,1021.4,1024.3,1015.6,0.0,2.1,2.4,1.9,30.5,34.7,26.8,2014-02-06T00:00:00-05:00,27.1,29.7,24.2,4.6,8.5,0.8,0,71107
12,55.0,100.0,26.0,us,20.5,23.1,16.7,31.9,40.0,25.0,20816,0.0,61.3,82.4,44.7,1022.4,1024.4,1020.4,0.0,2.3,2.6,2.0,32.9,41.0,25.0,2014-02-07T00:00:00-05:00,29.1,34.9,23.6,1.9,3.7,0.3,0,71107
13,78.0,100.0,42.0,us,17.0,21.1,13.1,29.2,32.4,26.1,20816,0.0,59.4,78.5,47.1,1021.7,1024.2,1018.2,0.0,2.0,2.4,1.7,29.6,32.9,26.1,2014-02-08T00:00:00-05:00,26.2,29.3,23.8,1.4,2.1,0.0,0,71107
14,71.0,100.0,32.0,us,23.6,29.0,19.5,28.1,31.4,24.3,20816,0.0,79.0,93.6,63.8,1015.9,1019.7,1011.9,0.0,2.7,3.3,2.2,29.5,33.4,24.3,2014-02-09T00:00:00-05:00,27.6,30.5,22.9,1.9,5.7,0.3,0,71107
15,57.0,85.0,13.0,us,15.3,27.2,10.6,22.3,26.1,15.9,20816,0.0,60.4,88.6,48.5,1019.0,1024.0,1013.2,0.0,1.9,3.1,1.5,27.5,30.3,23.1,2014-02-10T00:00:00-05:00,24.4,29.1,20.3,4.8,6.7,1.0,0,71107
16,15.0,47.0,9.0,us,9.8,10.4,8.8,20.8,27.6,15.2,20816,0.0,55.1,68.6,41.4,1025.8,1027.9,1023.5,0.0,1.4,1.5,1.4,24.0,30.5,18.6,2014-02-11T00:00:00-05:00,20.8,25.9,16.6,2.8,5.6,0.8,0,71107
17,55.0,89.0,8.0,us,12.1,22.7,6.2,18.4,24.5,11.1,20816,0.05,66.3,95.4,45.1,1026.6,1030.4,1018.3,0.8,1.6,2.5,1.2,22.1,28.0,15.1,2014-02-12T00:00:00-05:00,19.8,24.3,13.3,3.0,4.8,0.1,0,71107
18,79.0,100.0,10.0,us,30.0,34.2,22.1,23.7,29.5,15.1,20816,1.23,97.9,100.0,96.1,999.0,1017.2,988.6,12.3,3.6,4.2,2.5,30.6,34.6,22.8,2014-02-13T00:00:00-05:00,30.4,34.4,22.6,7.2,10.5,5.1,0,71107
19,56.0,100.0,2.0,us,25.7,31.1,20.2,36.5,49.3,26.0,20816,0.05,59.8,88.0,36.7,998.3,1003.0,991.5,0.0,3.0,3.7,2.3,39.1,49.3,32.0,2014-02-14T00:00:00-05:00,34.5,40.9,28.7,4.1,11.3,0.6,0,71107
20,63.0,90.0,4.0,us,26.3,32.3,15.1,28.2,35.5,19.9,20816,0.12,76.0,94.3,58.5,1003.0,1010.5,999.4,0.0,3.1,3.9,1.9,33.4,37.0,27.6,2014-02-15T00:00:00-05:00,31.1,33.6,24.3,6.3,11.6,0.7,0,71107
21,68.0,89.0,23.0,us,15.6,23.7,11.0,26.1,36.5,18.2,20816,0.0,56.3,79.2,43.7,1013.6,1018.2,1010.6,0.0,1.9,2.7,1.5,29.6,36.5,24.4,2014-02-16T00:00:00-05:00,26.0,31.0,21.3,3.5,7.0,0.7,0,71107
22,45.0,100.0,2.0,us,12.5,20.8,8.0,24.2,34.6,16.1,20816,0.0,53.9,77.0,34.4,1023.9,1028.1,1019.9,0.0,1.7,2.4,1.3,27.8,34.6,20.5,2014-02-17T00:00:00-05:00,24.3,29.1,18.2,3.3,5.3,0.8,0,71107
23,37.0,100.0,1.0,us,26.1,29.5,16.6,34.9,53.7,19.3,20816,0.05,66.7,95.6,31.1,1015.2,1020.4,1012.4,0.6,3.0,3.4,2.0,37.8,53.7,26.1,2014-02-18T00:00:00-05:00,33.8,43.9,25.5,3.9,6.7,0.7,0,71107
24,62.0,100.0,24.0,us,33.1,44.6,25.8,42.8,55.7,34.0,20816,0.08,66.2,96.6,36.1,1009.0,1016.2,1001.7,0.0,4.1,6.3,2.9,44.3,55.7,34.6,2014-02-19T00:00:00-05:00,39.9,50.0,31.8,4.0,7.6,1.1,0,71107
0,67.0,94.0,21.0,us,29.5,34.9,24.7,43.9,54.5,32.5,20816,0.0,59.0,85.5,29.9,1016.9,1020.8,1010.8,0.0,3.4,4.2,2.8,44.2,55.7,32.5,2014-02-20T00:00:00-05:00,38.8,45.3,31.1,2.2,6.2,0.2,0,71107
1,71.0,97.0,14.0,us,42.9,58.5,35.7,46.9,63.6,38.2,20816,0.08,84.9,95.6,71.9,1006.5,1011.7,1000.4,0.0,6.0,10.5,4.4,47.3,63.6,38.2,2014-02-21T00:00:00-05:00,45.1,60.4,37.6,2.8,8.6,0.3,0,71107
2,28.0,100.0,1.0,us,26.8,35.6,23.2,46.9,61.7,33.2,20816,0.0,50.4,93.5,23.0,1013.8,1016.0,1011.4,0.0,3.1,4.4,2.6,47.2,61.7,33.2,2014-02-22T00:00:00-05:00,40.3,49.2,31.2,3.2,6.7,0.4,0,71107
3,71.0,99.0,26.0,us,29.8,37.4,26.3,50.2,60.4,42.9,20816,0.0,44.7,72.9,31.6,1010.6,1013.1,1007.3,0.0,3.5,4.7,3.0,51.2,60.4,45.3,2014-02-23T00:00:00-05:00,43.1,48.8,39.3,3.8,6.0,1.3,0,71107
4,40.0,100.0,12.0,us,17.8,36.5,9.0,33.6,39.4,29.4,20816,0.01,45.4,83.3,25.1,1013.3,1017.7,1010.0,0.0,2.2,4.5,1.4,38.5,43.5,31.2,2014-02-24T00:00:00-05:00,33.1,40.4,26.7,7.1,11.8,2.2,0,71107
5,74.0,99.0,41.0,us,20.8,28.0,13.8,28.7,33.4,20.3,20816,0.05,68.8,90.6,49.6,1014.7,1017.6,1011.7,0.6,2.4,3.2,1.7,30.1,35.5,23.9,2014-02-25T00:00:00-05:00,27.3,31.9,22.0,2.0,4.4,0.4,0,71107
6,47.0,100.0,3.0,us,16.9,27.5,7.8,26.0,27.8,22.4,20816,0.04,63.3,93.9,38.5,1009.9,1013.3,1007.3,0.5,2.1,3.1,1.4,29.0,34.0,23.5,2014-02-26T00:00:00-05:00,26.0,29.5,21.9,3.5,7.7,0.4,0,71107
7,23.0,100.0,3.0,us,9.9,18.6,2.2,22.4,31.7,9.0,20816,0.0,48.2,68.5,27.3,1006.6,1017.0,1002.4,0.0,1.5,2.2,1.0,28.1,37.8,19.2,2014-02-27T00:00:00-05:00,24.1,31.5,16.3,6.2,11.0,0.9,0,71107
8,14.0,100.0,1.0,us,-3.6,2.0,-7.5,15.3,29.0,5.1,20816,0.0,35.7,47.5,21.1,1023.9,1027.3,1017.8,0.0,0.8,1.0,0.6,20.0,29.0,11.8,2014-02-28T00:00:00-05:00,16.7,24.5,9.6,3.5,8.4,0.6,0,71107
9,48.0,100.0,3.0,us,14.0,21.7,3.1,29.7,42.9,16.3,20816,0.0,51.5,76.0,35.1,1022.2,1025.6,1018.1,0.0,1.8,2.4,1.1,30.6,43.3,16.9,2014-03-01T00:00:00-05:00,26.3,36.1,15.4,1.9,4.7,0.3,0,71107
10,73.0,100.0,13.0,us,30.9,38.3,23.4,39.3,51.1,33.7,20816,0.1,72.5,96.9,46.9,1014.0,1018.2,1011.1,0.0,3.7,4.8,2.6,39.7,51.3,33.7,2014-03-02T00:00:00-05:00,36.4,43.5,31.1,1.7,5.2,0.2,0,71107
11,77.0,100.0,18.0,us,16.3,33.8,5.1,14.6,32.4,5.7,20816,0.44,81.8,97.5,53.1,1019.0,1025.0,1012.6,5.2,2.1,4.1,1.2,21.4,34.8,11.8,2014-03-03T00:00:00-05:00,20.3,34.4,10.5,5.4,8.3,1.9,0,71107
12,44.0,100.0,5.0,us,6.6,14.8,2.3,17.9,30.9,3.4,20816,0.0,57.9,78.8,34.7,1023.7,1026.8,1020.9,0.0,1.3,1.8,1.0,20.1,31.2,9.1,2014-03-04T00:00:00-05:00,17.3,26.3,8.1,1.8,4.9,0.4,0,71107
13,39.0,97.0,15.0,us,14.9,17.2,13.4,29.1,43.5,16.6,20816,0.0,55.7,86.4,29.0,1020.8,1026.2,1018.7,0.0,1.8,2.0,1.7,30.7,44.1,17.9,2014-03-05T00:00:00-05:00,26.7,36.5,17.0,2.5,4.8,0.8,0,71107
14,74.0,100.0,41.0,us,16.5,22.3,11.5,23.6,28.5,17.0,20816,0.0,60.5,73.3,53.6,1028.0,1031.2,1025.9,0.0,2.0,2.5,1.6,28.5,33.3,22.1,2014-03-06T00:00:00-05:00,25.2,29.2,19.7,4.4,5.9,2.9,0,71107
15,81.0,100.0,45.0,us,26.8,30.4,22.7,30.8,39.8,23.3,20816,0.0,72.8,82.2,60.9,1016.8,1025.4,1011.3,0.0,3.0,3.5,2.5,34.8,42.6,28.4,2014-03-07T00:00:00-05:00,31.9,37.9,26.7,4.5,6.2,3.0,0,71107
16,54.0,100.0,1.0,us,32.2,37.3,25.6,45.9,62.7,29.8,20816,0.0,60.6,86.5,36.7,1009.8,1011.3,1007.5,0.0,3.9,4.7,2.9,46.3,62.7,29.8,2014-03-08T00:00:00-05:00,40.4,51.1,28.6,2.9,5.9,1.0,0,71107
17,57.0,100.0,21.0,us,25.5,36.8,16.0,42.2,47.9,35.3,20816,0.0,48.9,69.5,27.6,1013.1,1016.3,1009.2,0.0,3.0,4.6,1.9,44.6,48.5,39.5,2014-03-09T00:00:00-05:00,38.5,43.0,33.7,5.0,8.3,1.0,0,71107
18,60.0,93.0,9.0,us,27.1,31.1,21.4,46.5,60.3,37.3,20816,0.0,46.9,61.5,29.6,1006.6,1013.4,1000.7,0.0,3.1,3.7,2.4,46.9,60.3,38.1,2014-03-10T00:00:00-04:00,39.7,48.5,33.1,3.0,7.3,0.7,0,71107
19,75.0,99.0,16.0,us,36.0,40.1,30.1,55.5,68.1,47.3,20816,0.0,48.4,59.0,33.9,1001.0,1002.9,999.1,0.0,4.5,5.3,3.5,55.6,68.1,47.3,2014-03-11T00:00:00-04:00,47.0,54.6,40.9,1.7,3.5,0.7,0,71107
20,77.0,100.0,35.0,us,41.3,57.0,22.1,50.1,66.7,25.1,20816,0.09,69.2,92.3,49.7,991.0,1000.9,980.0,0.0,5.9,10.1,2.5,51.4,66.7,34.6,2014-03-12T00:00:00-04:00,46.6,59.3,30.6,6.5,17.6,0.1,0,71107
21,15.0,52.0,1.0,us,6.2,19.4,-1.8,18.3,26.9,7.2,20816,0.0,41.1,60.1,27.4,1007.9,1018.6,995.1,0.0,1.3,2.3,0.9,27.7,32.6,19.5,2014-03-13T00:00:00-04:00,23.6,28.2,16.4,10.7,13.4,3.0,0,71107
22,57.0,99.0,10.0,us,15.4,22.5,8.1,39.1,58.5,24.6,20816,0.0,36.6,56.3,23.9,1016.0,1020.4,1009.1,0.0,1.9,2.5,1.4,41.3,58.5,24.6,2014-03-14T00:00:00-04:00,34.2,47.0,21.5,5.4,10.6,0.4,0,71107
23,55.0,100.0,15.0,us,24.9,35.7,19.6,54.6,64.8,46.6,20816,0.0,31.4,41.9,18.7,1008.6,1013.7,1006.2,0.0,2.9,4.4,2.3,55.4,64.8,48.6,2014-03-15T00:00:00-04:00,45.1,51.2,40.6,5.5,9.5,1.0,0,71107
24,60.0,98.0,3.0,us,25.3,31.1,19.6,37.2,47.1,22.9,20816,0.15,60.0,97.7,36.8,1016.4,1018.5,1013.4,1.4,2.9,3.6,2.2,39.4,47.1,28.5,2014-03-16T00:00:00-04:00,34.8,39.5,28.3,3.5,7.0,1.4,0,71107
0,84.0,100.0,45.0,us,24.0,27.7,21.1,22.0,29.3,15.6,20816,0.36,86.3,95.7,76.3,1013.9,1015.9,1012.1,4.8,2.7,3.2,2.4,27.6,30.4,24.3,2014-03-17T00:00:00-04:00,26.4,28.4,23.6,5.2,7.8,1.4,0,71107
1,96.0,100.0,66.0,us,24.0,27.5,19.5,32.2,38.9,25.5,20816,0.0,65.2,81.4,53.9,1017.8,1020.3,1014.5,0.0,2.7,3.1,2.2,34.6,40.9,29.3,2014-03-18T00:00:00-04:00,31.1,35.6,26.5,3.2,6.0,1.0,0,71107
2,70.0,100.0,10.0,us,34.4,40.3,28.0,36.4,40.7,30.6,20816,0.09,90.0,99.9,70.4,1015.6,1020.0,1008.1,0.0,4.2,5.2,3.2,37.1,40.7,32.7,2014-03-19T00:00:00-04:00,36.1,40.4,31.0,1.9,3.6,0.3,0,71107
3,31.0,100.0,7.0,us,32.6,41.7,23.1,45.9,54.4,38.1,20816,0.0,63.2,99.9,27.4,1008.7,1012.4,1005.9,0.0,4.0,5.6,2.6,47.6,56.6,39.7,2014-03-20T00:00:00-04:00,42.3,45.7,38.7,5.6,10.8,1.3,0,71107
4,59.0,100.0,3.0,us,33.4,40.2,25.8,45.0,51.7,39.1,20816,0.0,63.1,83.6,48.4,1013.6,1015.4,1012.7,0.0,4.0,5.2,2.9,45.4,52.3,39.1,2014-03-21T00:00:00-04:00,40.5,46.4,34.8,2.2,5.5,0.2,0,71107
5,65.0,97.0,19.0,us,34.4,37.8,30.0,52.0,70.1,38.8,20816,0.0,56.5,90.9,22.6,1009.0,1012.6,1006.6,0.0,4.2,4.8,3.5,52.4,70.1,38.8,2014-03-22T00:00:00-04:00,45.1,54.7,37.6,3.3,6.4,0.4,0,71107
6,72.0,100.0,21.0,us,25.4,30.8,11.7,39.5,48.5,28.1,20816,0.0,50.8,61.9,38.1,1014.4,1017.5,1011.7,0.0,2.9,3.6,1.6,42.6,49.7,34.7,2014-03-23T00:00:00-04:00,36.8,42.2,29.2,5.2,8.7,3.3,0,71107
7,19.0,55.0,1.0,us,9.8,14.4,7.6,26.9,38.4,16.3,20816,0.0,41.1,54.7,27.8,1019.8,1023.4,1017.0,0.0,1.5,1.8,1.3,31.2,38.9,22.4,2014-03-24T00:00:00-04:00,26.5,32.4,19.5,4.4,7.8,0.6,0,71107
8,85.0,98.0,57.0,us,26.6,32.3,15.3,29.4,31.0,27.9,20816,0.23,84.0,96.8,53.9,1012.1,1017.1,1007.4,0.7,3.1,3.8,1.9,31.3,33.9,28.0,2014-03-25T00:00:00-04:00,29.9,33.2,25.3,2.5,3.9,0.8,0,71107
9,37.0,100.0,2.0,us,16.2,29.1,8.8,23.1,28.5,18.5,20816,0.0,59.2,95.3,33.5,1015.5,1023.0,1009.4,0.0,2.0,3.4,1.4,30.1,34.7,26.8,2014-03-26T00:00:00-04:00,26.8,30.4,24.4,8.1,13.8,2.8,0,71107
10,38.0,100.0,4.0,us,17.8,27.0,11.8,33.0,47.6,17.3,20816,0.0,50.5,77.2,29.3,1023.8,1027.0,1019.9,0.0,2.1,3.0,1.6,35.6,50.3,21.2,2014-03-27T00:00:00-04:00,30.5,41.3,19.6,4.0,7.1,1.1,0,71107
11,84.0,99.0,56.0,us,42.2,52.4,26.8,50.5,65.3,38.2,20816,0.06,68.9,89.3,51.3,1014.6,1019.0,1011.3,0.0,6.0,8.3,3.0,52.4,65.3,41.2,2014-03-28T00:00:00-04:00,47.7,57.8,36.1,6.9,10.4,3.8,0,71107
12,82.0,100.0,56.0,us,54.5,57.7,51.8,55.9,61.4,51.6,20816,0.5,94.3,99.7,75.3,1008.8,1015.1,998.0,0.0,9.0,10.2,8.2,56.2,61.4,53.0,2014-03-29T00:00:00-04:00,55.2,57.7,52.3,3.0,5.7,0.3,0,71107
13,88.0,100.0,52.0,us,40.2,52.0,32.3,36.2,51.9,26.0,20816,1.06,94.9,99.1,81.0,1000.1,1006.4,996.4,0.0,5.4,8.3,3.9,41.6,53.1,33.0,2014-03-30T00:00:00-04:00,40.9,52.5,32.7,8.6,11.9,4.1,0,71107
