Rk,Player,Pos,Age,Tm,G,MP ▾,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
47,Nerlens Noel,PF,20,PHI,75,2311,15.0,.493,.000,.352,8.3,21.0,14.3,9.8,2.9,5.0,16.2,17.0,,-0.2,4.2,4.0,.083,,-3.8,4.5,0.8,1.6
48,Solomon Hill,SF,23,IND,78,2298,10.3,.509,.332,.307,3.2,11.5,7.4,12.1,1.5,0.6,13.8,16.0,,1.0,2.6,3.5,.074,,-1.0,0.9,-0.2,1.1
49,P.J. Tucker,SF,29,PHO,75,2278,12.5,.539,.428,.236,5.3,17.9,11.6,7.6,2.2,0.7,12.8,13.8,,2.1,2.6,4.7,.099,,-0.1,1.4,1.3,1.9
50,Kyle Lowry,PG,28,TOR,66,2274,19.6,.530,.372,.301,2.6,12.8,7.7,33.1,2.3,0.4,12.8,25.4,,5.1,1.8,6.9,.145,,4.4,-0.6,3.8,3.3
51,Trey Burke,PG,22,UTA,75,2269,12.7,.458,.387,.144,1.5,8.7,5.2,25.0,1.5,0.5,10.4,23.9,,0.9,1.6,2.5,.053,,0.1,-2.0,-1.9,0.1
52,Tobias Harris,SF,22,ORL,65,2264,16.5,.546,.253,.261,3.4,17.1,10.1,9.0,1.5,1.3,10.0,22.6,,2.6,1.7,4.3,.091,,0.3,-0.7,-0.4,0.9
53,Khris Middleton,PF,23,MIL,75,2261,15.3,.557,.308,.186,2.2,14.5,8.4,12.2,2.6,0.4,10.6,19.8,,2.9,3.2,6.0,.128,,0.7,0.4,1.1,1.8
54,Harrison Barnes,SF,22,GSW,79,2249,13.2,.576,.330,.233,5.4,15.0,10.4,6.8,1.3,0.5,9.2,14.8,,3.6,2.9,6.5,.140,,0.5,0.6,1.1,1.7
55,Blake Griffin,PF,25,LAC,64,2248,22.9,.554,.022,.374,6.2,17.8,12.1,26.0,1.3,1.2,10.2,28.4,,6.4,2.2,8.6,.185,,3.1,0.9,4.1,3.5
56,Derrick Favors,PF,23,UTA,72,2239,22.3,.563,.006,.365,10.0,20.6,15.3,9.4,1.4,4.4,10.1,23.9,,5.2,3.3,8.5,.182,,0.9,1.6,2.6,2.6
